UniProt ID (2598),Description,Resistance mechanism
B1MM05,Flavin-dependent monooxygenase,efflux pump
B1MW96,Undecaprenyl-diphosphatase,target alteration
B1W4P7,Undecaprenyl-diphosphatase,target alteration
B1X7H0,Multidrug resistance protein MdtA,efflux pump
B1X7H1,Multidrug resistance protein MdtB,efflux pump
B1X7H2,Multidrug resistance protein MdtC,efflux pump
B1X7H3,Putative multidrug resistance protein MdtD,efflux pump
B1X8W7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B1X8W8,Bifunctional polymyxin resistance protein ArnA,target alteration
B1X8X0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B1X9G6,Multidrug resistance protein MdtG,efflux pump
B1X9H8,Multidrug resistance protein MdtH,efflux pump
B1X9T9,Multidrug resistance protein MdtL,efflux pump
B1XF64,Spermidine export protein MdtI,efflux pump
B1XF65,Spermidine export protein MdtJ,efflux pump
B1XFX3,Multidrug resistance protein MdtK,efflux pump
B1XG62,Undecaprenyl-diphosphatase,target alteration
B1XTA2,Undecaprenyl-diphosphatase,target alteration
B1YIX1,Undecaprenyl-diphosphatase,target alteration
B2FHB6,Undecaprenyl-diphosphatase,target alteration
B2GDY8,Undecaprenyl-diphosphatase,target alteration
B2GIP7,Undecaprenyl-diphosphatase,target alteration
B2HFY7,Undecaprenyl-diphosphatase,target alteration
B2HXY4,Undecaprenyl-diphosphatase,target alteration
B2IM77,Undecaprenyl-diphosphatase,target alteration
B2K2I0,Undecaprenyl-diphosphatase,target alteration
B2K306,Multidrug resistance protein MdtH,efflux pump
B2K336,Spermidine export protein MdtJ,efflux pump
B2K337,Spermidine export protein MdtI,efflux pump
B2K5I9,Multidrug resistance protein MdtK,efflux pump
B2K5L1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B2K5L3,Bifunctional polymyxin resistance protein ArnA,target alteration
B2K5L4,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B2K9L9,Multidrug resistance protein MdtA,efflux pump
B2K9M1,Multidrug resistance protein MdtC,efflux pump
B2K9M2,Putative multidrug resistance protein MdtD,efflux pump
B2KE93,Undecaprenyl-diphosphatase,target alteration
B2RI48,Lipid A 4'-phosphatase,target alteration
B2RI95,Undecaprenyl-diphosphatase,target alteration
B2RZW9,Undecaprenyl-diphosphatase,target alteration
B2SC28,Undecaprenyl-diphosphatase,target alteration
B2SHN5,Undecaprenyl-diphosphatase,target alteration
B2TTK5,Multidrug resistance protein MdtH,efflux pump
B2TUR5,Multidrug resistance protein MdtL,efflux pump
B2TW38,Putative bifunctional polymyxin resistance protein ArnA,target alteration
B2TW40,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B2TYA6,Putative multidrug resistance protein MdtD,efflux pump
B2TYA7,Multidrug resistance protein MdtC,efflux pump
B2TYA8,Multidrug resistance protein MdtB,efflux pump
B2TYA9,Multidrug resistance protein MdtA,efflux pump
B2U1G1,Undecaprenyl-diphosphatase,target alteration
B2U1Q8,Spermidine export protein MdtI,efflux pump
B2U1Q9,Spermidine export protein MdtJ,efflux pump
B2U2G8,Multidrug resistance protein MdtK,efflux pump
B2U7E0,Undecaprenyl-diphosphatase,target alteration
B2V5I7,Undecaprenyl-diphosphatase,target alteration
B2VBI7,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B2VBI9,Bifunctional polymyxin resistance protein ArnA,target alteration
B2VBJ0,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B2VFQ4,Multidrug resistance protein MdtC,efflux pump
B2VGJ3,Undecaprenyl-diphosphatase,target alteration
B3DRX3,Undecaprenyl-diphosphatase,target alteration
B3E171,Undecaprenyl-diphosphatase,target alteration
B3E340,Undecaprenyl-diphosphatase,target alteration
B3EEG6,Undecaprenyl-diphosphatase,target alteration
B3ELU5,Undecaprenyl-diphosphatase,target alteration
B3PI58,Undecaprenyl-diphosphatase,target alteration
B3PYJ1,Undecaprenyl-diphosphatase,target alteration
B3Q5X8,Undecaprenyl-diphosphatase,target alteration
B3QQ95,Undecaprenyl-diphosphatase,target alteration
B3QW96,Undecaprenyl-diphosphatase,target alteration
B3U538,Beta-lactamase OXA-133,product inactivation
B3WCK5,Undecaprenyl-diphosphatase,target alteration
B4ETL6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B4ETL7,Bifunctional polymyxin resistance protein ArnA,target alteration
B4ETL9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 2,target alteration
B4ETN1,Multidrug resistance protein MdtH,efflux pump
B4EUL1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase 1,target alteration
B4EVU5,Spermidine export protein MdtJ,efflux pump
B4EWN4,Multidrug resistance protein MdtK,efflux pump
B4EY99,Multidrug resistance protein MdtA,efflux pump
B4EYA1,Multidrug resistance protein MdtC,efflux pump
B4EYY4,Multidrug resistance protein MdtG,efflux pump
B4RCI1,Undecaprenyl-diphosphatase,target alteration
B4RQE0,Undecaprenyl-diphosphatase,target alteration
B4RY28,Undecaprenyl-diphosphatase,target alteration
B4S3H1,Undecaprenyl-diphosphatase,target alteration
B4SDS7,Undecaprenyl-diphosphatase,target alteration
B4SRU3,Undecaprenyl-diphosphatase,target alteration
B4SXW0,Multidrug resistance protein MdtB,efflux pump
B4SXW1,Multidrug resistance protein MdtC,efflux pump
B4SXW2,Putative multidrug resistance protein MdtD,efflux pump
B4SYB3,Multidrug resistance protein MdtL,efflux pump
B4SYX0,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B4SYX1,Bifunctional polymyxin resistance protein ArnA,target alteration
B4SYX3,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B4T2Y5,Multidrug resistance protein MdtG,efflux pump
B4T2Z8,Multidrug resistance protein MdtH,efflux pump
B4T562,Multidrug resistance protein MdtK,efflux pump
B4T5B8,Spermidine export protein MdtJ,efflux pump
B4T5B9,Spermidine export protein MdtI,efflux pump
B4T675,Undecaprenyl-diphosphatase,target alteration
B4T9U0,Multidrug resistance protein MdtA,efflux pump
B4T9U1,Multidrug resistance protein MdtB,efflux pump
B4T9U2,Multidrug resistance protein MdtC,efflux pump
B4T9U3,Putative multidrug resistance protein MdtD,efflux pump
B4TAV4,Multidrug resistance protein MdtL,efflux pump
B4TBG5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B4TBG6,Bifunctional polymyxin resistance protein ArnA,target alteration
B4TBG8,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B4TES5,Multidrug resistance protein MdtG,efflux pump
B4TET8,Multidrug resistance protein MdtH,efflux pump
B4TH65,Multidrug resistance protein MdtK,efflux pump
B4THR3,Spermidine export protein MdtJ,efflux pump
B4THR4,Spermidine export protein MdtI,efflux pump
B4TI56,Undecaprenyl-diphosphatase,target alteration
B4TN12,Multidrug resistance protein MdtL,efflux pump
B4TNI6,Multidrug resistance protein MdtB,efflux pump
B4TNI7,Multidrug resistance protein MdtC,efflux pump
B4TNI8,Putative multidrug resistance protein MdtD,efflux pump
B4TPI1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B4TPI2,Bifunctional polymyxin resistance protein ArnA,target alteration
B4TPI4,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B4TSR5,Multidrug resistance protein MdtG,efflux pump
B4TTD0,Multidrug resistance protein MdtH,efflux pump
B4TUY3,Multidrug resistance protein MdtK,efflux pump
B4TVE8,Spermidine export protein MdtJ,efflux pump
B4TVE9,Spermidine export protein MdtI,efflux pump
B4TVT9,Undecaprenyl-diphosphatase,target alteration
B4U4X0,Undecaprenyl-diphosphatase,target alteration
B4ULG0,Undecaprenyl-diphosphatase,target alteration
B5BBC3,Multidrug resistance protein MdtH,efflux pump
B5BBD5,Multidrug resistance protein MdtG,efflux pump
B5BCP4,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5BCP6,Bifunctional polymyxin resistance protein ArnA,target alteration
B5BCP7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5BF67,Putative multidrug resistance protein MdtD,efflux pump
B5BF68,Multidrug resistance protein MdtC,efflux pump
B5BF69,Multidrug resistance protein MdtB,efflux pump
B5BG16,Undecaprenyl-diphosphatase,target alteration
B5BIG3,Purine ribonucleoside efflux pump NepI,efflux pump
B5BIM0,Multidrug resistance protein MdtL,efflux pump
B5BK90,Spermidine export protein MdtJ,efflux pump
B5BKE4,Multidrug resistance protein MdtK,efflux pump
B5E1R8,Undecaprenyl-diphosphatase,target alteration
B5EXV7,Multidrug resistance protein MdtB,efflux pump
B5EXV8,Multidrug resistance protein MdtC,efflux pump
B5EXV9,Putative multidrug resistance protein MdtD,efflux pump
B5EYX7,Multidrug resistance protein MdtL,efflux pump
B5EZH7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5EZH8,Bifunctional polymyxin resistance protein ArnA,target alteration
B5EZI0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5F6A1,Undecaprenyl-diphosphatase,target alteration
B5F6G3,Spermidine export protein MdtI,efflux pump
B5F6G4,Spermidine export protein MdtJ,efflux pump
B5F6M2,Multidrug resistance protein MdtK,efflux pump
B5F941,Multidrug resistance protein MdtH,efflux pump
B5F954,Multidrug resistance protein MdtG,efflux pump
B5FB78,Undecaprenyl-diphosphatase,target alteration
B5FHS1,Spermidine export protein MdtI,efflux pump
B5FHS2,Spermidine export protein MdtJ,efflux pump
B5FHU0,Undecaprenyl-diphosphatase,target alteration
B5FIH8,Multidrug resistance protein MdtK,efflux pump
B5FKZ8,Multidrug resistance protein MdtH,efflux pump
B5FL11,Multidrug resistance protein MdtG,efflux pump
B5FMU6,Multidrug resistance protein MdtB,efflux pump
B5FMU7,Multidrug resistance protein MdtC,efflux pump
B5FMU8,Putative multidrug resistance protein MdtD,efflux pump
B5FN15,Multidrug resistance protein MdtL,efflux pump
B5FNT8,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5FNT9,Bifunctional polymyxin resistance protein ArnA,target alteration
B5FNU1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5QU11,Purine ribonucleoside efflux pump NepI,efflux pump
B5QUE3,Spermidine export protein MdtI,efflux pump
B5QUE4,Spermidine export protein MdtJ,efflux pump
B5QUQ6,Multidrug resistance protein MdtL,efflux pump
B5QV34,Multidrug resistance protein MdtK,efflux pump
B5QXZ9,Multidrug resistance protein MdtH,efflux pump
B5QY11,Multidrug resistance protein MdtG,efflux pump
B5R0C0,Multidrug resistance protein MdtB,efflux pump
B5R0C1,Multidrug resistance protein MdtC,efflux pump
B5R0C2,Putative multidrug resistance protein MdtD,efflux pump
B5R271,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5R272,Bifunctional polymyxin resistance protein ArnA,target alteration
B5R274,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5RAN4,Multidrug resistance protein MdtK,efflux pump
B5RBD4,Multidrug resistance protein MdtH,efflux pump
B5RBW8,Multidrug resistance protein MdtB,efflux pump
B5RBW9,Multidrug resistance protein MdtC,efflux pump
B5RCC3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5RCC4,Bifunctional polymyxin resistance protein ArnA,target alteration
B5RCC6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5RG43,Purine ribonucleoside efflux pump NepI,efflux pump
B5RL84,Undecaprenyl-diphosphatase,target alteration
B5RR78,Undecaprenyl-diphosphatase,target alteration
B5XJR7,Undecaprenyl-diphosphatase,target alteration
B5XPB7,Putative multidrug resistance protein MdtD,efflux pump
B5XPB8,Multidrug resistance protein MdtC,efflux pump
B5XPB9,Multidrug resistance protein MdtB,efflux pump
B5XR94,Spermidine export protein MdtI,efflux pump
B5XTK8,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5XTK9,Bifunctional polymyxin resistance protein ArnA,target alteration
B5XTL1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5XU34,Undecaprenyl-diphosphatase,target alteration
B5XWL3,Multidrug resistance protein MdtK,efflux pump
B5XXJ2,Multidrug resistance protein MdtH,efflux pump
B5XXK2,Multidrug resistance protein MdtG,efflux pump
B5XZP2,Multidrug resistance protein MdtL,efflux pump
B5YID8,Undecaprenyl-diphosphatase,target alteration
B5YR97,Undecaprenyl-diphosphatase,target alteration
B5YUD2,Multidrug resistance protein MdtA,efflux pump
B5YUD3,Multidrug resistance protein MdtB,efflux pump
B5YUD4,Multidrug resistance protein MdtC,efflux pump
B5YUD5,Putative multidrug resistance protein MdtD,efflux pump
B5YVT5,Multidrug resistance protein MdtH,efflux pump
B5YX45,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B5YXB4,Multidrug resistance protein MdtL,efflux pump
B5YXP8,Bifunctional polymyxin resistance protein ArnA,target alteration
B5YXQ0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B5Z435,Spermidine export protein MdtI,efflux pump
B5Z436,Spermidine export protein MdtJ,efflux pump
B5Z497,Multidrug resistance protein MdtK,efflux pump
B5ZYG2,Undecaprenyl-diphosphatase,target alteration
B6EM11,Undecaprenyl-diphosphatase,target alteration
B6HYS0,Multidrug resistance protein MdtB,efflux pump
B6HYS1,Multidrug resistance protein MdtC,efflux pump
B6HYS2,Putative multidrug resistance protein MdtD,efflux pump
B6I3U3,Multidrug resistance protein MdtL,efflux pump
B6I428,Undecaprenyl-diphosphatase,target alteration
B6I7J7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B6I7J8,Bifunctional polymyxin resistance protein ArnA,target alteration
B6I7K0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B6I9D0,Multidrug resistance protein MdtG,efflux pump
B6I9E2,Multidrug resistance protein MdtH,efflux pump
B6IB33,Spermidine export protein MdtI,efflux pump
B6IB34,Spermidine export protein MdtJ,efflux pump
B6IBA3,Multidrug resistance protein MdtK,efflux pump
B6JCL3,Undecaprenyl-diphosphatase,target alteration
B7GJC8,Undecaprenyl-diphosphatase,target alteration
B7GR11,Undecaprenyl-diphosphatase,target alteration
B7GXE2,Undecaprenyl-diphosphatase,target alteration
B7HJF3,Metallothiol transferase FosB,product inactivation
B7HNI5,Metallothiol transferase FosB,product inactivation
B7I7L7,Undecaprenyl-diphosphatase,target alteration
B7IFS1,Undecaprenyl-diphosphatase,target alteration
B7ITG3,Metallothiol transferase FosB,product inactivation
B7J1I6,Undecaprenyl-diphosphatase,target alteration
B7JKN1,Metallothiol transferase FosB,product inactivation
B7L5F1,Spermidine export protein MdtI,efflux pump
B7L5F2,Spermidine export protein MdtJ,efflux pump
B7L5L6,Multidrug resistance protein MdtK,efflux pump
B7L855,Multidrug resistance protein MdtL,efflux pump
B7L9U7,Multidrug resistance protein MdtA,efflux pump
B7L9U8,Multidrug resistance protein MdtB,efflux pump
B7L9U9,Multidrug resistance protein MdtC,efflux pump
B7L9V0,Putative multidrug resistance protein MdtD,efflux pump
B7LAR9,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7LAS0,Bifunctional polymyxin resistance protein ArnA,target alteration
B7LAS2,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7LFG4,Multidrug resistance protein MdtG,efflux pump
B7LFZ9,Multidrug resistance protein MdtH,efflux pump
B7LGZ1,Undecaprenyl-diphosphatase,target alteration
B7LK52,Multidrug resistance protein MdtL,efflux pump
B7LM74,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7LM76,Bifunctional polymyxin resistance protein ArnA,target alteration
B7LM77,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7LQA4,Multidrug resistance protein MdtK,efflux pump
B7LQD5,Undecaprenyl-diphosphatase,target alteration
B7LT82,Multidrug resistance protein MdtG,efflux pump
B7LV38,Multidrug resistance protein MdtA,efflux pump
B7LV39,Multidrug resistance protein MdtB,efflux pump
B7LV40,Multidrug resistance protein MdtC,efflux pump
B7LV41,Putative multidrug resistance protein MdtD,efflux pump
B7LZK7,Undecaprenyl-diphosphatase,target alteration
B7LZZ1,Spermidine export protein MdtI,efflux pump
B7LZZ2,Spermidine export protein MdtJ,efflux pump
B7M0M0,Multidrug resistance protein MdtK,efflux pump
B7M457,Multidrug resistance protein MdtA,efflux pump
B7M458,Multidrug resistance protein MdtB,efflux pump
B7M459,Multidrug resistance protein MdtC,efflux pump
B7M460,Putative multidrug resistance protein MdtD,efflux pump
B7M562,Multidrug resistance protein MdtL,efflux pump
B7M5T6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7M5T7,Bifunctional polymyxin resistance protein ArnA,target alteration
B7M5T9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7M928,Multidrug resistance protein MdtG,efflux pump
B7M940,Multidrug resistance protein MdtH,efflux pump
B7M9V2,Spermidine export protein MdtI,efflux pump
B7M9V3,Spermidine export protein MdtJ,efflux pump
B7MA17,Multidrug resistance protein MdtK,efflux pump
B7MAD4,Undecaprenyl-diphosphatase,target alteration
B7ME86,Multidrug resistance protein MdtA,efflux pump
B7ME87,Multidrug resistance protein MdtB,efflux pump
B7ME88,Multidrug resistance protein MdtC,efflux pump
B7ME89,Putative multidrug resistance protein MdtD,efflux pump
B7MG21,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7MG22,Bifunctional polymyxin resistance protein ArnA,target alteration
B7MG24,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7MGD1,Multidrug resistance protein MdtL,efflux pump
B7MIJ4,Multidrug resistance protein MdtG,efflux pump
B7MIK6,Multidrug resistance protein MdtH,efflux pump
B7MTI5,Multidrug resistance protein MdtG,efflux pump
B7MTJ6,Multidrug resistance protein MdtH,efflux pump
B7MV43,Multidrug resistance protein MdtK,efflux pump
B7MV45,Spermidine export protein MdtI,efflux pump
B7MV46,Spermidine export protein MdtJ,efflux pump
B7MWY7,Multidrug resistance protein MdtA,efflux pump
B7MWY8,Multidrug resistance protein MdtB,efflux pump
B7MWY9,Multidrug resistance protein MdtC,efflux pump
B7MWZ0,Putative multidrug resistance protein MdtD,efflux pump
B7MXT5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7MXT6,Bifunctional polymyxin resistance protein ArnA,target alteration
B7MXT9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7N061,Undecaprenyl-diphosphatase,target alteration
B7N2F5,Multidrug resistance protein MdtL,efflux pump
B7N5L9,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7N5M0,Bifunctional polymyxin resistance protein ArnA,target alteration
B7N5M2,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7NAS9,Multidrug resistance protein MdtG,efflux pump
B7NAU0,Multidrug resistance protein MdtH,efflux pump
B7NB49,Spermidine export protein MdtI,efflux pump
B7NBB6,Multidrug resistance protein MdtK,efflux pump
B7NCB0,Multidrug resistance protein MdtA,efflux pump
B7NCB1,Multidrug resistance protein MdtB,efflux pump
B7NCB2,Multidrug resistance protein MdtC,efflux pump
B7NCB3,Putative multidrug resistance protein MdtD,efflux pump
B7ND46,Undecaprenyl-diphosphatase,target alteration
B7NF27,Multidrug resistance protein MdtL,efflux pump
B7NJS0,Undecaprenyl-diphosphatase,target alteration
B7NL69,Multidrug resistance protein MdtH,efflux pump
B7NL82,Multidrug resistance protein MdtG,efflux pump
B7NNT3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7NNT4,Bifunctional polymyxin resistance protein ArnA,target alteration
B7NNT6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7NQA9,Putative multidrug resistance protein MdtD,efflux pump
B7NQB0,Multidrug resistance protein MdtC,efflux pump
B7NQB1,Multidrug resistance protein MdtB,efflux pump
B7NQB2,Multidrug resistance protein MdtA,efflux pump
B7NR12,Multidrug resistance protein MdtL,efflux pump
B7NTX0,Multidrug resistance protein MdtK,efflux pump
B7NUP0,Spermidine export protein MdtI,efflux pump
B7UFR6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7UFR7,Bifunctional polymyxin resistance protein ArnA,target alteration
B7UFR9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7UIW5,Undecaprenyl-diphosphatase,target alteration
B7UMD5,Purine ribonucleoside efflux pump NepI,efflux pump
B7UMH7,Multidrug resistance protein MdtL,efflux pump
B7UP67,Multidrug resistance protein MdtG,efflux pump
B7UP79,Multidrug resistance protein MdtH,efflux pump
B7URT9,Spermidine export protein MdtI,efflux pump
B7URU0,Spermidine export protein MdtJ,efflux pump
B7US04,Multidrug resistance protein MdtK,efflux pump
B7UTB2,Multidrug resistance protein MdtA,efflux pump
B7UTB3,Multidrug resistance protein MdtB,efflux pump
B7UTB4,Multidrug resistance protein MdtC,efflux pump
B7UTB5,Putative multidrug resistance protein MdtD,efflux pump
B7VAE6,Undecaprenyl-diphosphatase,target alteration
B7VBN0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B7VBN2,Bifunctional polymyxin resistance protein ArnA,target alteration
B7VBN3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B7VIW0,Undecaprenyl-diphosphatase,target alteration
B8CJF5,Undecaprenyl-diphosphatase,target alteration
B8CWG2,Undecaprenyl-diphosphatase,target alteration
B8D6X4,Undecaprenyl-diphosphatase,target alteration
B8D8M0,Undecaprenyl-diphosphatase,target alteration
B8DUF9,Undecaprenyl-diphosphatase,target alteration
B8EBV1,Undecaprenyl-diphosphatase,target alteration
B8FAZ7,Undecaprenyl-diphosphatase,target alteration
B8FX50,Undecaprenyl-diphosphatase,target alteration
B8GUR7,Undecaprenyl-diphosphatase,target alteration
B8H6C3,Undecaprenyl-diphosphatase,target alteration
B8H8K7,Undecaprenyl-diphosphatase,target alteration
B8I004,Undecaprenyl-diphosphatase,target alteration
B8J0P3,Undecaprenyl-diphosphatase,target alteration
B8J8T6,Undecaprenyl-diphosphatase,target alteration
B8ZLV4,Undecaprenyl-diphosphatase,target alteration
B8ZRD4,Undecaprenyl-diphosphatase,target alteration
B9DK59,Undecaprenyl-diphosphatase,target alteration
B9DPM7,Probable dual-specificity RNA methyltransferase RlmN,target alteration
B9EA92,Undecaprenyl-diphosphatase,target alteration
B9IY29,Metallothiol transferase FosB,product inactivation
B9KYE6,Undecaprenyl-diphosphatase,target alteration
B9L7I2,Undecaprenyl-diphosphatase,target alteration
B9M0D1,Undecaprenyl-diphosphatase,target alteration
B9MFI6,Undecaprenyl-diphosphatase,target alteration
B9MKR9,Undecaprenyl-diphosphatase,target alteration
C0H3X7,Phosphatidylglycerol lysyltransferase,target alteration
C0M8J5,Undecaprenyl-diphosphatase,target alteration
C0MG10,Undecaprenyl-diphosphatase,target alteration
C0PYX8,Undecaprenyl-diphosphatase,target alteration
C0Q067,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
C0Q069,Bifunctional polymyxin resistance protein ArnA,target alteration
C0Q070,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
C0Q1F2,Multidrug resistance protein MdtC,efflux pump
C0Q1F3,Multidrug resistance protein MdtB,efflux pump
C0Q1F4,Multidrug resistance protein MdtA,efflux pump
C0Q212,Purine ribonucleoside efflux pump NepI,efflux pump
C0Q2L5,Multidrug resistance protein MdtL,efflux pump
C0Q4Y4,Spermidine export protein MdtI,efflux pump
C0Q4Y5,Spermidine export protein MdtJ,efflux pump
C0Q5V7,Multidrug resistance protein MdtK,efflux pump
C0Q842,Multidrug resistance protein MdtH,efflux pump
C0Q855,Multidrug resistance protein MdtG,efflux pump
C0QC99,Undecaprenyl-diphosphatase,target alteration
C0QU08,Undecaprenyl-diphosphatase,target alteration
C0RMI1,Undecaprenyl-diphosphatase,target alteration
C0ZJ12,Metallothiol transferase FosB,product inactivation
C0ZL89,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,target alteration
C1A8L5,Undecaprenyl-diphosphatase,target alteration
C1AQ52,Undecaprenyl-diphosphatase,target alteration
C1B7Z5,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,target alteration
C1C5J2,Undecaprenyl-diphosphatase,target alteration
C1CCM1,Undecaprenyl-diphosphatase,target alteration
C1CIV9,Undecaprenyl-diphosphatase,target alteration
C1CPW6,Undecaprenyl-diphosphatase,target alteration
C1CVN6,Undecaprenyl-diphosphatase,target alteration
C1D4X7,Undecaprenyl-diphosphatase,target alteration
C1DLV7,Undecaprenyl-diphosphatase,target alteration
C1ERH6,Metallothiol transferase FosB,product inactivation
C3KAD2,Bifunctional polymyxin resistance protein ArnA,target alteration
C3KAD3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
C3L5E9,Metallothiol transferase FosB 1,product inactivation
C3L6A4,Metallothiol transferase FosB 2,product inactivation
C3LS16,Undecaprenyl-diphosphatase,target alteration
C3MCT9,Undecaprenyl-diphosphatase,target alteration
C3P6D6,Metallothiol transferase FosB 2,product inactivation
C3P803,Metallothiol transferase FosB 1,product inactivation
C4XT96,Undecaprenyl-diphosphatase,target alteration
C4ZQX4,Undecaprenyl-diphosphatase,target alteration
C4ZRZ3,Multidrug resistance protein MdtG,efflux pump
C4ZS05,Multidrug resistance protein MdtH,efflux pump
C4ZSG2,Multidrug resistance protein MdtA,efflux pump
C4ZSG3,Multidrug resistance protein MdtB,efflux pump
C4ZSG4,Multidrug resistance protein MdtC,efflux pump
C4ZSG5,Putative multidrug resistance protein MdtD,efflux pump
C4ZU96,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
C4ZU97,Bifunctional polymyxin resistance protein ArnA,target alteration
C4ZXQ4,Purine ribonucleoside efflux pump NepI,efflux pump
C4ZY62,Spermidine export protein MdtI,efflux pump
C4ZY63,Spermidine export protein MdtJ,efflux pump
C4ZYC7,Multidrug resistance protein MdtK,efflux pump
C4ZYY8,Multidrug resistance protein MdtL,efflux pump
C5B828,Multidrug resistance protein MdtH,efflux pump
C5BC70,Multidrug transporter MdfA,efflux pump
C5BDQ5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
C5BDQ8,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
