CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3001614,AAW81337.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001615,ABK34774.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001616,AAW81339.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001617,CAM86994.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001618,AAW81341.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001619,AAW81342.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001620,CAP01453.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001621,AAX51234.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001622,AAX51233.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001623,ABC26007.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001624,ABC26006.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001625,ABE03012.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001626,ABD48715.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001627,ABF47914.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001628,ABF47916.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001629,ABF47917.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001630,ABF47918.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001631,ABF47919.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001632,ABC61637.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001633,ABV71246.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001634,ABV71247.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001635,ABV71248.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001636,ABQ52429.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001637,ABV31686.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001638,ABV31687.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001639,ABV31688.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001640,ABV31689.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001641,ABV31690.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001642,ABV31691.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001643,ABV31692.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001644,ABW70410.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001645,AAW81358.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001646,CAK50801.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001647,ABO33299.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001648,ABY77907.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001649,ABI53716.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001650,CAJ77809.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001651,ACD84988.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001652,ACD84989.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001653,ACD84990.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001654,ACX70402.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001655,ACD45467.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001656,ADI58616.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001657,ADI58617.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001658,ADI58618.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001659,ADI58619.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001660,ADI58620.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001661,ADI58621.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001662,ADK34116.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001663,ADB28891.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001664,ADX07748.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001665,ADX07745.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001666,ADX07746.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001667,ADX07747.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001668,AEL17179.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001669,AEL88491.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001670,AFG29918.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001671,AAP40270.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001672,CCJ32595.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001673,CCJ32596.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001674,CCJ32597.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001675,CCJ32598.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001676,AFH36330.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001677,AFH36332.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001678,AFH36331.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001679,AFO55201.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001680,AFO55202.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001681,AGI65307.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001682,BAN10684.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001683,AGU69250.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001684,AGU69251.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001685,AGU69252.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001686,AGU69253.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001687,AGU69254.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001688,AGU69255.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001689,AGK07368.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001690,AGK07369.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001691,AFM55001.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001692,AFM55000.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001693,AFM55002.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001694,AGK07370.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001695,ADM47435.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001702,ACE63186.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001703,AAZ78361.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001704,ABC84263.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001705,ADB28892.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001707,ENV88740.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001709,ADK92148.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001710,AEV91550.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001711,AEV91551.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001712,AEV91552.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001713,AEV91553.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001714,AEV91554.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001715,AGV04655.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001716,ENU54757.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001717,ENW35072.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001718,ENW50687.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001719,ENW43915.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001720,ENW20318.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001721,RFX69805.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001722,ENV38192.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001723,ENV93423.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001724,ENU09033.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001725,EOQ63861.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001726,EOQ69512.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001727,EOQ72432.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001728,ENW16915.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001729,ENW12288.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001730,EPH38243.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001731,ENV18923.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001732,ENV13583.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001733,ENV45890.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001734,ENU35234.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001735,ENV74419.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001736,ENU38533.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001737,EKE23052.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001738,ENU15301.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001739,ENX16434.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001740,ENX26326.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001741,ENU21708.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001742,WP_032865068.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001743,ENX60508.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001746,ENW94121.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001747,ENX53612.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001748,WP_032877719.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001749,ENU93232.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001750,ENX19403.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001751,ENU21024.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001752,ENX09209.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001753,ENX40034.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001754,ENV82218.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001755,ENV20093.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001756,ENV90372.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001757,ENX18112.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001758,ENX56371.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001759,ENX45276.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001760,ENV02983.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001761,ENX38336.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001762,WP_032879257.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001763,ENV32314.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001764,AAU88145.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001765,ABW76134.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001766,ADZ54048.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001767,ABW76138.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001768,AAK55330.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001769,CAD32564.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001770,CAD32565.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001771,CAF74882.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001772,CAG15145.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001773,AAT01092.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001774,AHF71363.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001775,AAN41427.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001776,ADG27454.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001777,AET35493.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001778,AGD91915.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001779,ACI28281.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001780,AAP69916.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001781,AAP69225.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001782,AAP70012.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001783,ADY06444.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001784,AEP16366.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001785,AAW22056.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001786,AGC60012.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001787,AGC60013.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001788,AFU91598.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001791,AGC70814.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001792,AAR32134.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001793,AGR55864.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001794,CAD58780.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001795,AAR32651.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001796,AAQ76277.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001797,AFP97030.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001798,CAH69530.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001799,ACT09125.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001800,ACM67635.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001801,ACO72579.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001802,ABQ15112.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001803,ABY79006.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001804,ACN85419.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001805,ADT70779.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001806,AEQ73521.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001807,AHC31001.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001808,AAQ08905.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001809,AEM66528.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001810,AAP43641.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001811,CAP69660.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001812,AAR89917.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001813,AAR03105.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001814,AFC95894.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001815,CAB46491.1,ACC beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3001816,AAF86691.1,ACC beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3001817,AAF86697.1,ACC beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3001818,ABP49606.1,ACC beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3001819,CCK86740.1,ACC beta-lactamase,product inactivation,cephalosporin;monobactam;penam
ARO:3001821,AAC45086.2,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001822,CAJ28994.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001823,ABL67017.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001824,ACJ05689.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001825,ACJ05686.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001826,AEI70575.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001827,BAM34463.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001828,AGU38146.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001829,ABZ81086.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001830,ACJ05688.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001831,CBI75448.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001832,AEV91214.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001834,AFU25650.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001835,CCK86741.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001836,AFU25647.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001837,AFU25653.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001838,AHM76771.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001839,AHM76777.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001840,AHM76779.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001841,AHA80105.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001842,AHA80106.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001843,AHM76774.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001844,AHL39336.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001845,AHL39338.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001847,AHL39340.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001848,AHL39333.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001849,AIT76085.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001850,AIT76086.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001851,AIT76096.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001852,AIT76088.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001853,AIT76087.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001854,WP_063857778.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001855,BAP68758.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3001856,BAC76072.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3001857,CAA55007.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3001858,AAA93461.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001859,ABA00479.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001860,ACX71212.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001861,AHE78014.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001862,WP_085562405.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001863,WP_063860570.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3001864,CAA63262.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001865,AAZ95872.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001866,CAA71321.1,CTX-M beta-lactamase,product inactivation,cephalosporin;cephamycin;penam
ARO:3001867,CAA74573.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001868,AAC32890.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001869,CAA06311.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001870,CAA06312.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001871,AAF04388.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001872,AAF05311.2,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001873,AAT68658.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001874,AAF93177.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001875,AAG34108.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001876,AAF72531.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001877,AAF72530.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001878,AAL02127.1,CTX-M beta-lactamase,product inactivation,cephalosporin;penam
ARO:3001879,AAK32961.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001880,AAK71471.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001881,AAK55534.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001882,CAC95175.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001883,CAD08929.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001884,AAL86924.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001885,AAL99990.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001886,AAN38836.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001887,AAM70498.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001888,AAN75444.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001889,AAO61597.1,CTX-M beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3001890,CAD70280.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001891,AAP22736.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001892,AAP43508.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001893,CAD99181.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001894,CAD89606.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001895,AAO88912.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001896,AAR99493.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001897,BAD83775.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001898,BAD16611.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001899,AAT70415.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001900,AAV70602.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001901,AAX54694.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001902,AAV28215.2,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001903,AAY43008.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001904,AAY84742.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001905,AAZ14955.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001906,BAA07082.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001907,BAA28282.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001908,AAV97956.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001909,AAV97952.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001910,AAV97953.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001911,AAV97954.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001912,AAV97955.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001913,ABA62022.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001914,ABB17185.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001915,ABB72225.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001916,ABC18328.3,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001917,ABI34705.1,CTX-M beta-lactamase,product inactivation,cephalosporin
